Unnamed: 0,French,English
0,partie,part
1,histoire,history
3,seulement,only
6,aide,help
7,demande,request
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,ville,city
19,parlé,speak
22,bébé,baby
23,longtemps,long time
24,heures,hours
25,vont,will
26,pendant,while
27,revoir,meet again
28,aucune,any
31,compris,understood
32,savais,knew
33,étaient,were
34,attention,Warning
36,pourrais,could
37,affaire,case
38,donner,give
40,leurs,their
43,corps,body
44,endroit,place
45,yeux,eyes
46,façon,way
47,écoute,listen
48,dont,whose
50,premier,first
51,perdu,lost
53,première,first
55,pouvoir,power
56,vieux,old
57,sois,be
58,tiens,here
59,matin,morning
60,tellement,so much
61,enfant,child
62,point,point
63,venu,came
65,pardon,sorry
68,vers,towards
69,minutes,minutes
70,demandé,request
74,droit,law
75,aimerais,would like to
77,mari,husband
78,cause,cause
81,eau,water
82,attendez,Wait
83,parti,left
84,nouvelle,new
85,boulot,job
86,arrêter,Stop
88,terre,Earth
91,fin,end
92,croire,believe
93,chérie,sweetheart
96,aura,will have
97,filles,girls
99,bureau,office
